,Area (m2),Property Type,Bedrooms,Bathrooms,Address,Law Document,Quarter,Year,Latitude,Longitude,Postal Code,Importance,Place Rank,City,Price (billion VND)
28933,120.0,2.0,33.0,2.0,2116.0,6.0,2.0,2021.0,21.0090571,105.8607507,10078.0,7.283054856179167e-05,30.0,1.0,62.0
1549,70.0,0.0,2.0,2.0,7420.0,6.0,1.0,2023.0,10.863661019729271,106.75993416663962,75350.0,0.0534003669794765,26.0,0.0,2.35
23285,110.0,3.0,4.0,2.0,5613.0,5.0,2.0,2023.0,21.0106758,105.7995616,10055.0,0.0534061638818951,26.0,1.0,22.0
32304,200.0,4.0,4.0,2.0,4224.0,3.0,4.0,2023.0,21.0541036,105.782116,10065.0,0.0534061638818951,26.0,1.0,110.0
2238,73.0,0.0,2.0,2.0,1462.0,6.0,4.0,2022.0,10.742350176371668,106.63000254277496,73118.0,0.0534003669794765,26.0,0.0,2.4
9159,75.0,0.0,3.0,2.0,6927.0,2.0,4.0,2021.0,21.0097815,105.745302,34000.0,0.250991283779456,26.0,1.0,2.574
2673,75.13,0.0,2.0,2.0,6277.0,4.0,3.0,2022.0,10.717723683368208,106.60213237132751,73118.0,0.0534003669794765,26.0,0.0,3.35
8170,50.4,2.0,4.0,4.0,7541.0,6.0,2.0,2022.0,10.83334475,106.69963438727773,10000.0,0.0800670336461432,24.0,0.0,8.5
16508,78.0,3.0,8.0,5.0,6258.0,6.0,4.0,2022.0,20.9989203,105.821837,10165.0,0.0534061638818951,26.0,1.0,13.5
15121,70.0,0.0,3.0,2.0,1564.0,3.0,3.0,2021.0,21.056345598528445,105.91304390583498,8443.0,0.0534061638818951,26.0,1.0,2.1
5159,50.5,2.0,1.0,1.0,3189.0,6.0,4.0,2022.0,10.758896478471693,106.6029400007288,73118.0,0.0534003669794765,26.0,0.0,3.5
1774,58.0,0.0,2.0,2.0,6053.0,4.0,4.0,2022.0,10.8332833,106.7799993,71211.0,6.703364614323671e-05,30.0,0.0,2.29
13623,80.36,0.0,4.0,2.0,1820.0,5.0,2.0,2021.0,21.0295683,105.7918811,10141.0,7.283054856179167e-05,30.0,1.0,3.4
32743,75.0,4.0,4.0,2.0,3724.0,5.0,1.0,2022.0,21.0145346,105.943659,8443.0,0.0534061638818951,26.0,1.0,8.8
22531,33.0,3.0,3.0,4.0,7272.0,5.0,3.0,2021.0,21.0134677,105.8074266,10157.0,7.283054856179167e-05,30.0,1.0,3.15
